method,n,energy_frac,rwdim,rrdim,nldim,nsr,time,error
clsSOPT,0,0.9,4,6,6,16,0.415180294,0.0182159703882934
clsQDEIM,0,0.9,4,6,6,16,0.508869198,0.01720289935470325
clsSOPT,0,0.9,4,6,6,26,0.586005354,0.0182159703882934
clsQDEIM,0,0.9,4,6,6,26,1.423121891,0.01708722754715625
clsSOPT,0,0.9,4,6,6,36,0.7496907479999999,0.01821597038829341
clsQDEIM,0,0.9,4,6,6,36,0.736626733,0.01702772113392594
clsSOPT,0,0.9,4,6,6,46,2.040564552,0.01821597038829341
clsQDEIM,0,0.9,4,6,6,46,3.766416836,0.01729974120153294
clsSOPT,0,0.9,4,6,6,56,2.109903779,0.01821597038829338
clsQDEIM,0,0.9,4,6,6,56,1.089992787,0.01716083829517318
clsSOPT,0,0.9,4,6,6,66,1.23766141,0.0182159703882934
clsQDEIM,0,0.9,4,6,6,66,1.201083861,0.01721502964890623
clsSOPT,0,0.9,4,6,6,76,1.404525529,0.01828290039500376
clsQDEIM,0,0.9,4,6,6,76,1.362135489,0.01703368497651098
clsSOPT,0,0.9,4,6,6,86,1.545041568,0.01778058426161447
clsQDEIM,0,0.9,4,6,6,86,1.493949557,0.01727212585324881
clsSOPT,0,0.9,4,6,6,96,1.647950986,0.0177862057747951
clsQDEIM,0,0.9,4,6,6,96,1.683276358,0.0172485861362825
clsSOPT,0,0.9,4,6,6,106,1.817986544,0.01786365659805662
clsQDEIM,0,0.9,4,6,6,106,1.804027718,0.01728319676740715
clsSOPT,0,0.9,4,6,6,116,1.929757862,0.01789895642922031
clsQDEIM,0,0.9,4,6,6,116,1.975975123,0.01735204133958241
clsSOPT,0,0.9,4,6,6,126,2.059772626,0.01789617401836023
clsQDEIM,0,0.9,4,6,6,126,2.130199694,0.01734422931047173
clsSOPT,0,0.9,4,6,6,136,2.207350607,0.01790136673398874
clsQDEIM,0,0.9,4,6,6,136,2.276513032,0.01763655975617125
