method,n,energy_frac,rwdim,rrdim,nldim,nsr,time,error
clsSOPT,0,0.9,4,6,6,11,0.292577281,0.01821597038829341
clsQDEIM,0,0.9,4,6,6,11,0.312147242,0.01686246381639052
clsSOPT,0,0.9,4,6,6,16,0.3781208319999999,0.0182159703882934
clsQDEIM,0,0.9,4,6,6,16,0.384094054,0.01720289935470325
clsSOPT,0,0.9,4,6,6,21,0.46035536,0.01821597038829341
clsQDEIM,0,0.9,4,6,6,21,0.4594642839999999,0.01720583092713947
clsSOPT,0,0.9,4,6,6,26,0.528196093,0.0182159703882934
clsQDEIM,0,0.9,4,6,6,26,0.546188659,0.01708722754715625
clsSOPT,0,0.9,4,6,6,31,0.612492359,0.01821597038829341
clsQDEIM,0,0.9,4,6,6,31,0.6178558869999999,0.01704879068757318
clsSOPT,0,0.9,4,6,6,36,0.699560462,0.01821597038829341
clsQDEIM,0,0.9,4,6,6,36,0.702509006,0.01702772113392594
clsSOPT,0,0.9,4,6,6,41,0.7974714709999999,0.0182159703882934
clsQDEIM,0,0.9,4,6,6,41,0.804419333,0.01711776309960874
clsSOPT,0,0.9,4,6,6,46,0.8538141,0.01821597038829341
clsQDEIM,0,0.9,4,6,6,46,0.874556255,0.01729974120153294
clsSOPT,0,0.9,4,6,6,51,0.932255193,0.01821597038829338
clsQDEIM,0,0.9,4,6,6,51,0.951917542,0.0173242128625406
clsSOPT,0,0.9,4,6,6,56,1.021868154,0.01821597038829338
clsQDEIM,0,0.9,4,6,6,56,1.0336264,0.01716083829517318
clsSOPT,0,0.9,4,6,6,61,1.09301289,0.01821597038829338
clsQDEIM,0,0.9,4,6,6,61,1.098530183,0.01716900248994028
clsSOPT,0,0.9,4,6,6,66,1.177787289,0.0182159703882934
clsQDEIM,0,0.9,4,6,6,66,1.14112183,0.01721502964890623
clsSOPT,0,0.9,4,6,6,71,1.265982236,0.0182159703882934
clsQDEIM,0,0.9,4,6,6,71,1.212114469,0.01722008587490759
clsSOPT,0,0.9,4,6,6,76,1.334332869,0.01828290039500376
clsQDEIM,0,0.9,4,6,6,76,1.296220065,0.01703368497651098
clsSOPT,0,0.9,4,6,6,81,1.404029392,0.01802348764642309
clsQDEIM,0,0.9,4,6,6,81,1.37214659,0.01735239615821949
clsSOPT,0,0.9,4,6,6,86,1.469902685,0.01778058426161447
clsQDEIM,0,0.9,4,6,6,86,1.427555058,0.01727212585324881
clsSOPT,0,0.9,4,6,6,91,1.524967877,0.01781432309971162
clsQDEIM,0,0.9,4,6,6,91,1.519110818,0.01727664622073309
clsSOPT,0,0.9,4,6,6,96,1.571650053,0.0177862057747951
clsQDEIM,0,0.9,4,6,6,96,1.597514175,0.0172485861362825
clsSOPT,0,0.9,4,6,6,101,1.647430493,0.0177599897434182
clsQDEIM,0,0.9,4,6,6,101,1.648347574,0.01717977404788307
clsSOPT,0,0.9,4,6,6,106,1.720280203,0.01786365659805662
clsQDEIM,0,0.9,4,6,6,106,1.720315671,0.01728319676740715
clsSOPT,0,0.9,4,6,6,111,1.772956049,0.01787906189110634
clsQDEIM,0,0.9,4,6,6,111,1.787742501,0.01730298633828823
clsSOPT,0,0.9,4,6,6,116,1.843788234,0.01789895642922031
clsQDEIM,0,0.9,4,6,6,116,1.856327147,0.01735204133958241
clsSOPT,0,0.9,4,6,6,121,1.895376159,0.0178857238283692
clsQDEIM,0,0.9,4,6,6,121,1.960362005,0.01735348384721837
clsSOPT,0,0.9,4,6,6,126,1.954569382,0.01789617401836023
clsQDEIM,0,0.9,4,6,6,126,2.026099248,0.01734422931047173
clsSOPT,0,0.9,4,6,6,131,2.022958073,0.01789673270136716
clsQDEIM,0,0.9,4,6,6,131,2.092435084,0.01748962951981731
clsSOPT,0,0.9,4,6,6,136,2.098668119,0.01790136673398874
clsQDEIM,0,0.9,4,6,6,136,2.155262643,0.01763655975617125
clsSOPT,0,0.9,4,6,6,141,2.156125708,0.01792450669826052
clsQDEIM,0,0.9,4,6,6,141,2.227369871,0.01772601977515453
clsSOPT,0,0.9,4,6,6,146,2.245043892,0.01788428179454448
clsQDEIM,0,0.9,4,6,6,146,2.288570556,0.01775387698095024
clsSOPT,0,0.9,4,6,6,151,2.311512484,0.01787776430585376
clsQDEIM,0,0.9,4,6,6,151,2.336964372,0.01783937682560362
clsSOPT,0,0.9,4,6,6,156,2.366324706,0.01791125366420044
clsQDEIM,0,0.9,4,6,6,156,2.420160421,0.01781467157782026
clsSOPT,0,0.9,4,6,6,161,2.419403554,0.01792124170404139
clsQDEIM,0,0.9,4,6,6,161,2.463522759,0.01777343272863178
clsSOPT,0,0.9,4,6,6,166,2.483544623,0.01797088891940471
