method,n,energy_frac,rwdim,rrdim,nldim,nsr,time,error
clsSOPT,0,0.9,4,6,6,11,0.2947084209999999,0.01821597038829341
clsQDEIM,0,0.9,4,6,6,11,0.294484373,0.01686246381639052
clsSOPT,0,0.9,4,6,6,16,0.384296843,0.0182159703882934
clsQDEIM,0,0.9,4,6,6,16,0.386995797,0.01720289935470327
clsSOPT,0,0.9,4,6,6,21,0.456974264,0.01821597038829341
clsQDEIM,0,0.9,4,6,6,21,0.457568392,0.01720583092713949
clsSOPT,0,0.9,4,6,6,26,0.5577481910000001,0.0182159703882934
clsQDEIM,0,0.9,4,6,6,26,0.547991376,0.01708722754715633
clsSOPT,0,0.9,4,6,6,31,0.613632192,0.01821597038829341
clsQDEIM,0,0.9,4,6,6,31,0.6112689469999999,0.01704879068757316
clsSOPT,0,0.9,4,6,6,36,0.718771108,0.01821597038829341
clsQDEIM,0,0.9,4,6,6,36,0.69616235,0.01702772113392593
clsSOPT,0,0.9,4,6,6,41,0.79884018,0.0182159703882934
clsQDEIM,0,0.9,4,6,6,41,1.210296119,0.01711776309960879
clsSOPT,0,0.9,4,6,6,46,1.08344693,0.01821597038829341
clsQDEIM,0,0.9,4,6,6,46,0.8556874880000001,0.01729974120153297
clsSOPT,0,0.9,4,6,6,51,0.935740103,0.01821597038829338
clsQDEIM,0,0.9,4,6,6,51,0.95121661,0.01732421286254067
clsSOPT,0,0.9,4,6,6,56,1.068945599,0.01821597038829338
clsQDEIM,0,0.9,4,6,6,56,1.287848904,0.01716083829517331
clsSOPT,0,0.9,4,6,6,61,1.091834256,0.01821597038829338
clsQDEIM,0,0.9,4,6,6,61,1.091957859,0.01716900248994026
clsSOPT,0,0.9,4,6,6,66,1.186053562,0.0182159703882934
clsQDEIM,0,0.9,4,6,6,66,2.618381679,0.0172150296489063
clsSOPT,0,0.9,4,6,6,71,2.792353299,0.0182159703882934
clsQDEIM,0,0.9,4,6,6,71,1.201812912,0.01722008587490772
clsSOPT,0,0.9,4,6,6,76,1.337605581,0.01821597031710387
clsQDEIM,0,0.9,4,6,6,76,1.870611079,0.01703368497651107
clsSOPT,0,0.9,4,6,6,81,1.406106085,0.01821597019845485
clsQDEIM,0,0.9,4,6,6,81,2.440118405,0.01735239615821963
clsSOPT,0,0.9,4,6,6,86,1.489123361,0.01803199379417396
clsQDEIM,0,0.9,4,6,6,86,2.021580917,0.01727212585324896
clsSOPT,0,0.9,4,6,6,91,1.520131338,0.01797896210734471
clsQDEIM,0,0.9,4,6,6,91,1.511299785,0.01727664622073314
clsSOPT,0,0.9,4,6,6,96,1.572821159,0.01777529184160172
clsQDEIM,0,0.9,4,6,6,96,1.597956648,0.01724858613628249
clsSOPT,0,0.9,4,6,6,101,1.642673577,0.01778425150885203
clsQDEIM,0,0.9,4,6,6,101,1.688578468,0.01717977404788305
clsSOPT,0,0.9,4,6,6,106,1.708325272,0.01784329005583521
clsQDEIM,0,0.9,4,6,6,106,1.735977679,0.01728319676740724
clsSOPT,0,0.9,4,6,6,111,1.776173332,0.0178731443897691
clsQDEIM,0,0.9,4,6,6,111,1.785914811,0.0173029863382882
clsSOPT,0,0.9,4,6,6,116,1.821700982,0.01785224160979932
clsQDEIM,0,0.9,4,6,6,116,1.872052182,0.01735204133958245
clsSOPT,0,0.9,4,6,6,121,1.884178784,0.01785635479824588
clsQDEIM,0,0.9,4,6,6,121,1.964151111,0.01735348384721851
clsSOPT,0,0.9,4,6,6,126,1.942646125,0.01789342464447068
clsQDEIM,0,0.9,4,6,6,126,2.038450262,0.01734422931047179
clsSOPT,0,0.9,4,6,6,131,2.02119018,0.01790273454457888
clsQDEIM,0,0.9,4,6,6,131,2.149057179,0.01748962951981737
